facility_name,responsible_emitter,state,industry,erc_fy2024_25,baseline_t,covered_emissions_t,commodity_group
Vincent Project Venture,Woodside Energy Ltd.,WA,Oil and gas extraction (070),0.902,261109,282383,oil
Virgin Australia Holdings National Transport Facility,VIRGIN AUSTRALIA HOLDINGS LIMITED,National,Air and space transport (490),0.902,2267645,2215462,other
WA Transport facility,MGM BULK PTY LTD,WA,Road freight transport (461),0.902,100000,109830,other
Wagerup Alumina Refinery,Alcoa of Australia Limited,WA,Basic non-ferrous metal manufacturing (213),0.902,1217338,1306994,alumina
Wambo Coal Mine,WAMBO COAL PTY LIMITED,NSW,Coal mining (060),0.902,193130,139316,coal
Warkworth Mine,Warkworth Mining Ltd,NSW,Coal mining (060),0.902,763046,1064719,coal
West Angelas Mine,Robe River Mining Co. Pty. Ltd.,WA,Metal ore mining (080),0.902,204720,264443,iron_ore
West Pilbara Iron Ore Project,ONSLOW IRON PTY LTD,WA,Metal ore mining (080),0.902,100000,135870,iron_ore
Wheatstone Operations,CHEVRON AUSTRALIA PTY LTD,WA,Oil and gas extraction (070),0.902,4025022,4020667,lng
Wilpinjong Coal Mine,WILPINJONG COAL PTY LTD,NSW,Coal mining (060),0.902,173119,164904,coal
Wodgina Lithium Project,MARBL Lithium Operations Pty Ltd,WA,Metal ore mining (080),0.902,138301,169821,lithium
Woodlawn Bioreactor,Veolia Environmental Services (Australia) Pty Ltd,NSW,"Waste treatment, disposal and remediation services (292)",0.902,188427,133925,other
WOR01,South32 Worsley Alumina Pty Ltd,WA,Basic non-ferrous metal manufacturing (213),0.902,3087049,3218588,alumina
YAN01 Yandi/Marillana Creek Mine - MNG Facility,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.902,100000,106656,iron_ore
Yandicoogina Mine,Hamersley Iron - Yandi Pty Limited,WA,Metal ore mining (080),0.902,123266,151953,iron_ore
Yarnima Power Station,BHP IRON ORE PTY LTD,WA,Electricity generation (261),0.902,324820,364582,iron_ore
Yarrabee Coal Mine (Open Cut),YARRABEE COAL COMPANY PTY. LTD.,QLD,Coal mining (060),0.902,201079,241396,coal
Yarwun Nitrates,ORICA AUSTRALIA PTY LTD,QLD,Other basic chemical product manufacturing (189),0.902,282537,80908,other
YPF AMMONIA PLANT,Yara Pilbara Fertilisers Pty Ltd,WA,Fertiliser and pesticide manufacturing (183),0.98,1680100,1637599,other
